ID,Homework: Fundamentals (690331),Homework: Recursion (711087),Homework: Generators (712610),Homework: Classes (713464),Homework: Classes and Lists (714905),Homework: Composition (715374),Homework: Stacks and Queues (690337),Midterm,Homework: Mathematical Expressions (690340),Homework: Mathematical Expressions as Classes (690334),Homework: Mathematical Expressions with Class Inheritance (690335),Homework: Graphs (690333),Homework: Task Scheduling with Dependencies (690339),Final Exam
Full Score,40,40,50,40,35,30,40,41,40,30,30,40,30,37
1,40,50,60,40,45,30,40,45,45,30,30,40,30,37
2,40,50,0,32,35,24,32,18.4,45,24,16,40,30,15
3,40,50,60,40,45,30,40,27.7,45,30,24,40,30,29
4,40,50,50,40,35,30,40,21,45,30,30,40,30,25
5,40,50,50,40,16,0,24,26,15,8,0,20,10,13
6,40,40,50,40,25,24,30,32,45,20,30,40,20,23
7,40,50,60,40,45,30,40,37,45,30,30,40,30,31
8,40,50,50,40,45,30,40,30,45,30,30,40,30,26
9,40,50,60,40,45,30,40,40,45,30,30,40,30,32.5
10,40,50,60,40,36,16,40,18,36,24,30,40,30,25
11,40,50,60,40,45,30,40,40,45,30,30,40,30,31
12,40,50,60,40,45,30,40,25,45,30,30,40,30,26
13,40,40,50,40,35,30,40,32,40,30,30,40,24,27
14,40,50,60,25,45,30,40,24,45,20,10,40,30,13
15,40,50,60,40,45,30,40,36,45,30,30,40,30,30
16,40,40,50,40,35,30,40,26,40,20,20,40,20,22
17,40,40,0,40,45,30,0,24,40,30,30,40,30,26
18,40,40,50,40,45,30,40,29,40,30,30,40,30,14
19,40,50,60,40,45,30,40,41,45,30,30,40,30,29
20,40,40,60,40,45,30,40,41,45,30,30,40,30,27
21,40,50,60,40,40,30,40,36,45,30,30,40,30,23
22,40,50,60,30,45,30,40,28,45,30,30,40,30,15
23,40,50,60,40,45,30,40,21,8,24,0,32,24,20
24,40,40,50,40,35,0,40,18,45,30,30,40,30,18
25,40,50,60,40,40,30,35,22,45,30,30,40,30,19
26,40,40,50,40,35,30,40,36.4,45,30,30,40,30,26
27,40,50,60,40,45,30,40,16.6,45,30,30,40,20,10
28,40,50,60,40,45,30,40,35,45,30,30,40,30,21
29,40,50,50,40,45,20,40,23,45,30,30,40,30,25
30,40,40,50,40,35,30,40,25.8,45,30,30,40,30,21
31,40,50,60,40,45,30,40,28,45,30,30,40,30,30
32,40,40,50,40,35,30,40,32,45,30,30,40,30,16
33,40,50,60,40,45,30,40,40,45,30,30,40,30,41
34,40,40,50,40,35,30,40,33,45,30,30,40,30,30
35,40,40,50,40,40,30,40,16,45,30,30,40,30,29
36,40,50,60,40,40,30,40,38,45,30,30,40,30,29
37,40,50,60,40,35,30,40,41,45,30,30,40,20,23
38,40,50,60,40,45,30,40,29,45,30,30,40,30,21
39,40,50,60,40,45,30,40,43,45,30,30,40,30,39
40,40,50,60,40,40,30,40,35,45,30,30,40,30,23
41,40,50,60,40,45,30,35,19.4,45,30,30,40,30,16
42,40,50,60,40,45,30,40,46,45,30,30,40,30,32
43,40,40,60,40,35,30,40,26,45,30,30,40,30,22
44,40,50,60,40,45,30,40,29.7,45,30,30,40,30,25
45,40,40,50,40,35,30,40,40,40,30,30,40,30,23
46,40,40,60,40,35,0,40,37,45,30,24,32,24,31
47,40,50,60,40,45,30,40,39,45,30,20,40,30,26
48,40,50,60,40,45,30,40,38,45,30,30,40,30,28
49,40,50,60,40,45,30,40,30.7,45,30,30,40,30,18
50,40,50,60,40,45,30,40,40,45,30,30,40,30,35
51,40,50,50,40,45,20,40,15,20,8,10,40,30,17
52,40,40,50,40,35,30,40,21,0,0,20,40,30,24
53,40,50,60,40,45,30,40,20.2,45,30,30,40,30,15
54,40,40,60,30,45,30,40,31,45,30,30,40,30,23
55,40,50,60,40,45,30,40,29,45,30,10,40,30,22
56,40,40,60,40,35,30,40,40,40,0,30,40,20,31
57,40,50,60,40,45,30,40,35,45,30,30,40,30,32
58,40,50,60,40,45,30,40,33.7,45,30,30,40,30,20
59,40,50,60,40,45,30,40,40,45,30,30,40,30,32
60,40,50,60,40,45,30,40,38,45,30,30,40,30,24
61,40,50,60,40,45,30,35,38,45,30,30,40,30,30
62,40,50,0,40,45,30,40,32,45,30,30,40,30,29
63,40,50,60,40,45,30,40,30.5,45,30,30,40,30,29
64,40,50,60,40,35,30,40,27,40,30,30,40,30,27
65,40,50,60,40,45,30,40,27,45,30,30,40,30,26
